rfp_id,sku_id,category,final_score,baseline_score,structured_score,semantic_score,standards_score,shap_structured,shap_semantic,shap_standards,dominant_feature
RFP_6373,SKU_115,matching,0.7311090344732458,0.6691409972959177,0.6363636363636364,0.709757387638092,1.0,-0.026960456210456174,0.02892849338778429,0.06000000000000001,Standards score
RFP_6374,SKU_184,partially matching,0.6155839542547862,0.6691409972959177,0.5833333333333334,0.4130576252937317,1.0,-0.053475607725607666,-0.06008143531552381,0.06000000000000001,Semantic score
RFP_6375,SKU_240,matching,0.7501751450391916,0.6691409972959177,0.6923076923076923,0.6800709962844849,1.0,0.0010115717615717945,0.02002257598170214,0.06000000000000001,Standards score
RFP_6376,SKU_117,partially matching,0.6751632224429738,0.6691409972959177,0.7272727272727273,0.3717561960220337,1.0,0.018494089244089296,-0.07247186409703321,0.06000000000000001,Semantic score
RFP_6377,SKU_228,partially matching,0.6785093426704407,0.6691409972959177,0.6,0.5950311422348022,1.0,-0.04514227439227436,-0.005489380233202645,0.06000000000000001,Standards score
RFP_6378,SKU_176,matching,0.744783672461143,0.6691409972959177,0.6923076923076923,0.6620994210243225,1.0,0.0010115717615717945,0.014631103403653433,0.06000000000000001,Standards score
RFP_6379,SKU_163,partially matching,0.6328982621431352,0.6691409972959177,0.6,0.44299420714378357,1.0,-0.04514227439227436,-0.05110046076050825,0.06000000000000001,Standards score
RFP_6380,SKU_152,partially matching,0.7101867139339447,0.6691409972959177,1.0,0.7006223797798157,0.0,0.15485772560772565,0.026187991030301384,-0.13999999999999999,Structured score
RFP_6381,SKU_211,partially matching,0.7006953279177348,0.6691409972959177,0.5833333333333334,0.696762204170227,1.0,-0.053475607725607666,0.025029938347424795,0.06000000000000001,Standards score
RFP_6382,SKU_189,matching,0.7207051595052083,0.6691409972959177,0.6666666666666666,0.62457275390625,1.0,-0.011808941058941036,0.003373103268231681,0.06000000000000001,Standards score
RFP_6383,SKU_265,partially matching,0.6280916333198547,0.6691409972959177,0.9,0.5936387777328491,0.0,0.10485772560772566,-0.0059070895837885825,-0.13999999999999999,Standards score
RFP_6384,SKU_102,matching,0.7871072292327881,0.6691409972959177,0.75,0.707024097442627,1.0,0.02985772560772565,0.028108506329144765,0.06000000000000001,Standards score
RFP_6385,SKU_234,partially matching,0.6673599898815155,0.6691409972959177,0.6,0.557866632938385,1.0,-0.04514227439227436,-0.016638733022127816,0.06000000000000001,Standards score
RFP_6386,SKU_248,partially matching,0.6552121281623839,0.6691409972959177,0.5,0.6840404272079468,1.0,-0.09514227439227435,0.021213405258740714,0.06000000000000001,Structured score
RFP_6387,SKU_291,partially matching,0.6161907217719338,0.6691409972959177,0.45454545454545453,0.6297266483306885,1.0,-0.11786954711954709,0.004919271595563224,0.06000000000000001,Structured score
RFP_6388,SKU_125,matching,0.7232677241166432,0.6691409972959177,0.6666666666666666,0.6331146359443665,1.0,-0.011808941058941036,0.005935667879666617,0.06000000000000001,Standards score
RFP_6389,SKU_290,partially matching,0.6471589207649231,0.6691409972959177,0.5,0.6571964025497437,1.0,-0.09514227439227435,0.013160197861279777,0.06000000000000001,Structured score
RFP_6390,SKU_158,partially matching,0.6753662586212159,0.6691409972959177,0.6,0.5845541954040527,1.0,-0.04514227439227436,-0.0086324642824275,0.06000000000000001,Standards score
RFP_6391,SKU_166,matching,0.7321749519218097,0.6691409972959177,0.7272727272727273,0.5617952942848206,1.0,0.018494089244089296,-0.015460134618197152,0.06000000000000001,Standards score
RFP_6392,SKU_160,partially matching,0.5720193147659302,0.6691409972959177,0.7,0.7400643825531006,0.0,0.004857725607725627,0.03802059186228685,-0.13999999999999999,Standards score
RFP_6393,SKU_274,partially matching,0.71632828224789,0.6691409972959177,0.7272727272727273,0.5089730620384216,1.0,0.018494089244089296,-0.03130680429211683,0.06000000000000001,Standards score
RFP_6394,SKU_155,partially matching,0.6245966932990334,0.6691409972959177,0.45454545454545453,0.6577465534210205,1.0,-0.11786954711954709,0.013325243122662834,0.06000000000000001,Structured score
RFP_6395,SKU_257,matching,0.8392761273817582,0.6691409972959177,0.9090909090909091,0.6157689094543457,1.0,0.10940318015318018,0.0007319499326603917,0.06000000000000001,Structured score
RFP_6396,SKU_113,partially matching,0.5611570206972268,0.6691409972959177,0.6923076923076923,0.7166772484779358,0.0,0.0010115717615717945,0.031004451639737418,-0.13999999999999999,Standards score
RFP_6397,SKU_146,partially matching,0.591512781381607,0.6691409972959177,0.8,0.6383759379386902,0.0,0.05485772560772567,0.007514058477963736,-0.13999999999999999,Standards score
RFP_6398,SKU_139,partially matching,0.5734045962492624,0.6691409972959177,0.3333333333333333,0.6891264319419861,1.0,-0.1784756077256077,0.022739206678952507,0.06000000000000001,Structured score
RFP_6399,SKU_193,partially matching,0.6794453998406729,0.6691409972959177,0.6666666666666666,0.4870402216911316,1.0,-0.011808941058941036,-0.03788665639630384,0.06000000000000001,Standards score
RFP_6400,SKU_107,partially matching,0.6632111370563507,0.6691409972959177,0.5,0.7107037901878357,1.0,-0.09514227439227435,0.029212414152707387,0.06000000000000001,Structured score
RFP_6401,SKU_116,partially matching,0.6011764488436959,0.6691409972959177,0.45454545454545453,0.5796790719032288,1.0,-0.11786954711954709,-0.010095001332674691,0.06000000000000001,Structured score
RFP_6402,SKU_219,partially matching,0.53932519753774,0.6691409972959177,0.6666666666666666,0.6866395473480225,0.0,-0.011808941058941036,0.02199314130076342,-0.13999999999999999,Standards score
RFP_6403,SKU_205,partially matching,0.549987323175777,0.6691409972959177,0.7272727272727273,0.6211698651313782,0.0,0.018494089244089296,0.002352236635770133,-0.13999999999999999,Standards score
RFP_6404,SKU_272,partially matching,0.5515492677688598,0.6691409972959177,0.7,0.6718308925628662,0.0,0.004857725607725627,0.017550544865216542,-0.13999999999999999,Standards score
RFP_6405,SKU_236,partially matching,0.6901097734769186,0.6691409972959177,0.6666666666666666,0.5225881338119507,1.0,-0.011808941058941036,-0.027222282760058114,0.06000000000000001,Standards score
RFP_6406,SKU_137,partially matching,0.46052338101647117,0.6691409972959177,0.45454545454545453,0.777502179145813,0.0,-0.11786954711954709,0.04925193084010058,-0.13999999999999999,Standards score
RFP_6407,SKU_137,partially matching,0.5087212719700553,0.6691409972959177,0.5454545454545454,0.7866466641426086,0.0,-0.07241500166500164,0.05199527633913927,-0.13999999999999999,Standards score
RFP_6408,SKU_286,partially matching,0.6580461540005424,0.6691409972959177,0.5454545454545454,0.6177296042442322,1.0,-0.07241500166500164,0.0013201583696263342,0.06000000000000001,Structured score
RFP_6409,SKU_277,matching,0.7811946551005047,0.6691409972959177,0.8333333333333334,0.548426628112793,1.0,0.07152439227439233,-0.019470734469805427,0.06000000000000001,Structured score
RFP_6410,SKU_259,matching,0.7450380384922028,0.6691409972959177,0.8,0.48346012830734253,1.0,0.05485772560772567,-0.03896068441144056,0.06000000000000001,Standards score
RFP_6411,SKU_252,partially matching,0.6561726927757263,0.6691409972959177,0.6,0.5205756425857544,1.0,-0.04514227439227436,-0.027826030127917,0.06000000000000001,Standards score
RFP_6412,SKU_265,matching,0.7509225904941559,0.6691409972959177,0.8,0.5030753016471863,1.0,0.05485772560772567,-0.03307613240948743,0.06000000000000001,Standards score
